date,business,amount
2016-03-27,VK,-2391.16
2017-12-17,Friday's,453.31
2016-09-17,OZON,-3244.02
2016-07-25,Yves Rocher,5557.18
2019-02-01,Google Play,-5522.65
2019-09-28,Dodo Pizza,-8243.71
2019-02-20,VK,-6791.31
2019-03-20,World of Warcraft,-3574.91
2018-12-01,Google Play,-8837.35
2017-05-17,Amazon,-7942.35
2018-08-08,Stellar,4240.36
2016-07-13,HSE,6079.77
2017-06-02,Amazon,9242.97
2017-12-17,HSE,8857.96
2018-08-24,Yandex.Money,4275.3
2017-10-31,5ka,-2856.91
2018-01-29,Steam,317.55
2017-07-29,Mindbox,4891.24
2016-04-28,HSE,2688.19
2017-01-17,QIWI,-120.23
2016-05-15,KFC,-5180.76
2019-04-27,Google Play,-949.1
2019-10-17,McDonald's,8196.09
2016-03-14,Dr. Head,-1887.48
2017-12-06,Steam,8007.42
2018-08-14,Local Kitchen,-4077.18
2017-09-24,Wildberries,1264.1
2019-04-10,Coinbase,-4322.04
2018-03-11,Coinbase,1655.58
2019-08-05,OZON,7669.94
2019-03-17,OZON,-1226.35
2018-04-14,Mindbox,3220.16
2017-09-08,Friday's,-2630.82
2018-09-20,Steam,-6695.07
2017-04-20,Burger King,7767.59
2016-05-12,KFC,-8418.09
2016-09-30,HSE,-381.03
2017-11-19,Stellar,-4708.96
2018-04-06,VK,9325.06
2017-10-14,Coinbase,6452.23
2018-07-24,Starbucks,7085.54
2019-05-19,Starbucks,-2031.35
2016-02-17,Amazon,9273.25
2017-06-11,McDonald's,-5158.46
2019-01-19,Dodo Pizza,-7196.73
2018-06-24,Yandex.Money,-4265.75
2017-05-31,Burger King,2483.2
2019-02-11,Burger King,-5138.74
2016-03-21,Starbucks,-5356.09
2017-09-27,KFC,4840.86
2019-08-15,Amazon,-335.5
2019-02-15,Perekrestok,3070.59
2019-11-09,Perekrestok,9171.45
2017-09-09,HSE,6164.74
2016-09-30,Coinbase,8978.35
2016-12-29,Mindbox,-9075.31
2017-10-24,5ka,5952.92
2018-12-25,Dr. Head,-1060.13
2018-09-17,Starbucks,-8551.91
2019-10-13,VK,-8108.98
2019-12-05,Perekrestok,-2154.72
2017-05-19,McDonald's,7008.36
2017-10-24,Yves Rocher,7031.83
2016-12-22,Yandex.Money,7079.9
2018-05-18,OZON,-7563.68
2017-06-12,Friday's,-2729.47
2017-03-06,HSE,9852.49
2016-10-25,Perekrestok,2536.5
2017-12-19,Friday's,6087.71
2017-03-12,McDonald's,-2001.02
2017-06-05,Local Kitchen,-3108.91
2019-08-09,HSE,-2192.35
2019-06-23,QIWI,-5216.24
2019-04-08,Local Kitchen,-8920.32
2017-04-10,Burger King,-9393.48
2016-10-03,OZON,719.2
2016-08-07,Papa John's,-5793.17
2016-07-09,Yandex.Money,9374.51
2018-12-02,5ka,-7056.98
2017-09-08,KFC,-9988.4
2018-08-30,Coinbase,-3061
2018-12-16,McDonald's,1076.36
2016-01-26,Stellar,4250.31
2017-01-05,World of Warcraft,-4383.57
2017-07-05,World of Warcraft,-1024.72
2017-12-16,Burger King,7468.07
2018-09-12,QIWI,-1873.79
2019-03-01,Mindbox,-503.88
2017-09-25,KFC,9870.53
2019-04-24,Perekrestok,3451.35
2018-12-03,Burger King,-5086.12
2019-12-21,Perekrestok,-572.15
2019-12-08,Perekrestok,-1049.41
2018-10-31,Dr. Head,1587.07
2018-11-15,QIWI,7944.21
2019-05-07,KFC,1683.88
2016-03-15,OZON,-2638.96
2019-05-13,Perekrestok,9216.35
2018-03-18,QIWI,9280.15
2017-07-19,Steam,-2055.78
2017-11-30,Dodo Pizza,6432.12
2016-02-21,5ka,-8642.17
2019-09-26,Friday's,9951.69
2019-07-23,HSE,8472.67
2016-11-13,Yandex.Money,-5879.37
2019-02-21,QIWI,6669.15
2017-02-20,Burger King,-7019.02
2016-02-27,Steam,-5984.45
2017-05-14,Google Play,5464.94
2017-03-02,OZON,8533.76
2018-09-11,Yandex.Money,-2996.85
2017-03-13,Amazon,4774.24
2016-07-05,Dodo Pizza,5857.01
2017-09-25,Local Kitchen,8533.56
2017-02-28,Google Play,-9501.32
2016-12-31,Yves Rocher,-3650.18
2019-01-09,World of Warcraft,141.48
2019-08-23,Starbucks,8155.83
2019-02-15,Yandex.Money,-2021.91
2016-10-12,5ka,-4137.33
2017-10-08,Stellar,-1382.52
2017-05-06,Yves Rocher,9350.05
2017-08-23,Yves Rocher,600.62
2018-10-28,World of Warcraft,4099.89
2016-12-10,Perekrestok,-6181.24
2016-08-07,KFC,172.83
2018-09-12,OZON,8163.48
2018-04-05,Wildberries,8413.85
2017-06-06,Local Kitchen,-936.49
2018-05-26,Papa John's,-6664.8
2016-09-16,Mindbox,-2990.37
2019-10-15,Steam,1344.92
2018-06-28,Steam,9158.52
2016-12-30,Friday's,-8562.61
2019-11-11,Papa John's,-5108.25
2019-10-06,KFC,-9888.06
2019-10-08,Local Kitchen,-1973.25
2018-03-24,Dr. Head,851.69
2016-08-23,VK,8271.08
2016-05-30,Burger King,-1663.08
2019-06-09,Dodo Pizza,3872.18
2019-08-20,Starbucks,-9904.17
2016-03-01,McDonald's,-8359
2017-10-28,Local Kitchen,1040.17
2016-02-19,Dodo Pizza,-2578.33
2018-01-24,HSE,9465.81
2017-09-22,Amazon,-2769.6
2018-03-01,Yandex.Money,-9876.64
2016-09-22,Dodo Pizza,651.35
2016-08-14,Perekrestok,947.94
2017-01-04,Steam,-1503.15
2016-11-21,Yandex.Money,-4688.33
2018-12-16,5ka,8923.08
2019-03-28,World of Warcraft,-2204.83
2016-04-23,Google Play,-2237.79
2017-11-14,Dr. Head,-4693.57
2017-09-16,Steam,4021.27
2019-11-13,Dodo Pizza,8101.21
2016-08-17,Burger King,4099.06
2017-01-26,Starbucks,655.9
2016-05-17,Stellar,-3335.36
2017-12-06,VK,-8247
2017-07-04,Papa John's,627.51
2017-02-19,KFC,-4943.83
2016-10-05,Yandex.Money,838.46
2016-01-18,World of Warcraft,336.87
2016-08-03,Papa John's,-3626.58
2016-02-09,Perekrestok,6190.51
2018-05-29,Steam,-8829.29
2018-08-09,Perekrestok,6654.29
2017-03-04,Mindbox,4596.46
2019-01-08,OZON,-8390.3
2016-03-16,Yandex.Money,-5450.81
2019-03-03,Perekrestok,-6513.23
2018-05-24,World of Warcraft,-4950.21
2017-09-13,OZON,-432.31
2018-05-31,Google Play,3136.16
2018-03-02,Dr. Head,-3837.24
2019-08-31,Burger King,-194.71
2019-09-07,5ka,6372.71
2016-12-15,Wildberries,-9702.27
2019-12-27,World of Warcraft,1201.07
2018-11-17,Google Play,1612.65
2018-10-21,Coinbase,-416.33
2017-04-07,Stellar,9629.99
2019-08-25,World of Warcraft,-1458.42
2018-10-16,OZON,-8215.92
2016-09-09,Wildberries,-2943.37
2017-09-19,Perekrestok,8901.18
2019-06-02,Wildberries,3024.08
2019-07-13,Starbucks,5961.57
2017-07-23,HSE,4017.54
2016-05-24,Papa John's,-3918.19
2018-07-26,Mindbox,-4132.83
2017-12-28,Steam,-4758.31
2017-08-04,Dodo Pizza,-393.19
2018-09-16,Starbucks,3774.69
2018-03-25,Dr. Head,1902.12
2017-12-12,Google Play,-9913.92
2016-07-10,VK,2620.8
2016-03-04,Burger King,-861
2017-02-11,KFC,4693.12
2019-07-07,HSE,-6342.63
2016-08-23,Wildberries,3857.96
2018-08-02,HSE,-2743.43
2017-07-23,Papa John's,-3227.55
2016-05-02,Stellar,-7616.16
2018-03-04,QIWI,-2841.92
2017-03-05,Mindbox,8849.73
2016-04-28,OZON,-3114.72
2016-06-05,Stellar,-5180.94
2019-07-09,HSE,-9305.33
2018-01-06,Yves Rocher,-7184.84
2018-08-01,McDonald's,-3580.1
2018-12-17,World of Warcraft,-8744
2018-05-26,OZON,7603.55
2018-05-21,Starbucks,7417.74
2018-06-12,Coinbase,11.66
2018-06-20,Starbucks,-1833.08
2017-01-15,HSE,2049.6
2016-11-26,Yves Rocher,-7062.23
2018-10-11,OZON,-6541.34
2017-09-19,OZON,-6392.79
